ageb,residentes,permanecen_en_ageb,proporcion,CVE_AGEB,POBTOT
192,201,0,0,3390,3881
193,807,0,0,3418,2341
194,579,0,0,3422,2808
195,91,0,0,3437,2714
196,220,0,0,3441,1644
197,1603,1,0.000623830318153,3456,2073
198,208,0,0,3460,3751
199,212,0,0,4844,4316
200,253,0,0,4859,2402
201,176,0,0,4863,8169
202,188,0,0,4878,231
203,243,0,0,4914,1511
204,17,0,0,4929,2278
205,495,3,0.00606060606061,4933,2482
206,43,0,0,4948,2704
207,25,0,0,4952,2275
208,54,0,0,4967,4061
209,86,0,0,4971,2244
210,137,1,0.00729927007299,4986,2004
211,33,0,0,4990,3141
212,1007,13,0.012909632572,5005,5
213,268,0,0,5039,3804
214,93,1,0.010752688172,5043,2588
215,103,0,0,5058,2447
216,76,0,0,5062,2458
217,228,0,0,5077,1289
218,154,0,0,5081,1156
219,169,1,0.00591715976331,5096,2016
220,147,0,0,5109,1521
221,87,0,0,5113,2636
222,52,0,0,5128,2824
223,456,0,0,5132,3356
224,252,0,0,5151,2472
225,2703,22,0.00813910469848,5166,2126
226,86,1,0.0116279069767,5170,1959
227,189,0,0,5185,1742
228,82,0,0,5202,1415
229,234,0,0,5217,3172
230,181,0,0,5221,1934
231,45,0,0,5236,2388
232,35,0,0,5240,728
233,40,0,0,5255,604
234,38,0,0,5274,2193
235,96,0,0,5289,1526
236,39,0,0,5293,1588
237,8,0,0,5306,1965
238,175,1,0.00571428571429,5310,1741
239,112,0,0,5325,1412
240,126,0,0,5344,2703
241,159,0,0,5359,2099
242,87,0,0,5363,2988
243,320,0,0,5378,3756
244,158,0,0,5382,3353
245,127,0,0,5397,3036
246,346,0,0,5414,3326
247,350,0,0,5429,745
248,65,0,0,5433,1414
249,102,0,0,5448,1675
250,132,0,0,5452,2414
251,30,0,0,5467,1310
252,65,0,0,5471,1509
253,14,0,0,5486,2284
254,11,0,0,5490,3371
255,89,0,0,5503,1828
256,500,0,0,5518,528
257,129,0,0,5522,1336
258,34,0,0,5537,1310
259,37,0,0,5560,5298
260,1509,19,0.012591119947,5575,4810
261,111,0,0,5594,2608
262,71,0,0,5607,1646
263,96,0,0,5611,1254
264,128,0,0,5626,2476
265,104,0,0,5630,2865
266,35,0,0,5645,1470
267,76,0,0,5664,1156
